"Código IBGE","Estado","Município","URL","População estimada","População no último censo","Densidade demográfica","Salário médio mensal dos trabalhadores formais","Pessoal ocupado","População ocupada","Percentual da população com rendimento nominal mensal per capita de até 1/2 salário mínimo","Taxa de escolarização de 6 a 14 anos de idade","IDEB – Anos iniciais do ensino fundamental (Rede pública)","IDEB – Anos finais do ensino fundamental (Rede pública)","Matrículas no ensino fundamental","Matrículas no ensino médio","Docentes no ensino fundamental","Docentes no ensino médio","Número de estabelecimentos de ensino fundamental","Número de estabelecimentos de ensino médio","PIB per capita","Percentual das receitas oriundas de fontes externas","Índice de Desenvolvimento Humano Municipal (IDHM)","Total de receitas realizadas","Total de despesas empenhadas","Mortalidade Infantil","Internações por diarreia","Estabelecimentos de Saúde SUS","Área da unidade territorial","Esgotamento sanitário adequado","Arborização de vias públicas","Urbanização de vias públicas","Bioma","Sistema Costeiro-Marinho","Hierarquia urbana","Região de Influência","Região intermediária","Região imediata","Mesorregião","Microrregião"
"2701407","AL","Campo Alegre","https://cidades.ibge.gov.br/brasil/al/campo-alegre/panorama","57.997 pessoas","50.816 pessoas","172,20 hab/km²","1,8 salários mínimos","5.868 pessoas","10,3 %","52,5 %","91,1 %","7,0","5,7","5.327 matrículas","1.592 matrículas","233 docentes","86 docentes","14 escolas","3 escolas","8.124,18 R$","- %","0,570","106.959,15 R$ (×1000)","104.559,81 R$ (×1000)","15,36 óbitos por mil nascidos vivos","0,7 internações por mil habitantes","10 estabelecimentos","312,726 km²","24 %","33,5 %","17,2 %","Mata Atlântica","Não pertence","Centro Local (5)","Arapiraca - Capital Regional C (2C)","Maceió","São Miguel dos Campos","Leste Alagoano","São Miguel dos Campos"
"2709301","AL","União dos Palmares","https://cidades.ibge.gov.br/brasil/al/uniao-dos-palmares/panorama","65.963 pessoas","62.358 pessoas","148,24 hab/km²","1,8 salários mínimos","5.057 pessoas","7,7 %","48,4 %","96,2 %","5,9","4,8","9.721 matrículas","2.442 matrículas","442 docentes","122 docentes","27 escolas","6 escolas","14.393,46 R$","86,9 %","0,593","131.780,41 R$ (×1000)","134.961,12 R$ (×1000)","15,25 óbitos por mil nascidos vivos","2 internações por mil habitantes","24 estabelecimentos","420,376 km²","63,2 %","68,1 %","16,9 %","Mata Atlântica","Não pertence","Centro Subregional B (3B)","Arranjo Populacional de Maceió/AL - Capital Regional A (2A)","Maceió","União dos Palmares","Leste Alagoano","Serrana dos Quilombos"
"2700300","AL","Arapiraca","https://cidades.ibge.gov.br/brasil/al/arapiraca/panorama","234.309 pessoas","214.006 pessoas","600,83 hab/km²","1,6 salários mínimos","40.850 pessoas","17,6 %","44,8 %","95,9 %","5,4","4,7","34.935 matrículas","8.886 matrículas","1.495 docentes","577 docentes","118 escolas","34 escolas","19.389,15 R$","65 %","0,649","589.893,32 R$ (×1000)","541.162,19 R$ (×1000)","14,88 óbitos por mil nascidos vivos","2,6 internações por mil habitantes","65 estabelecimentos","345,655 km²","19,1 %","74,4 %","12,2 %","Caatinga;Mata Atlântica","Não pertence","Capital Regional C (2C)","Arranjo Populacional de Maceió/AL - Capital Regional A (2A)","Arapiraca","Arapiraca","Agreste Alagoano","Arapiraca"
"2704807","AL","Maribondo","https://cidades.ibge.gov.br/brasil/al/maribondo/panorama","13.123 pessoas","13.619 pessoas","78,14 hab/km²","1,7 salários mínimos","1.133 pessoas","8,5 %","49,2 %","97,6 %","4,6","4,4","1.885 matrículas","462 matrículas","90 docentes","19 docentes","12 escolas","1 escolas","10.812,58 R$","91,5 %","0,597","34.915,36 R$ (×1000)","30.912,65 R$ (×1000)","10,99 óbitos por mil nascidos vivos","0,7 internações por mil habitantes","7 estabelecimentos","180,107 km²","68,6 %","66,2 %","20,3 %","Mata Atlântica","Não pertence","Centro Local (5)","Arapiraca - Capital Regional C (2C)","Arapiraca","Arapiraca","Agreste Alagoano","Palmeira dos Índios"
"1200179","AC","Capixaba","https://cidades.ibge.gov.br/brasil/ac/capixaba/panorama","12.280 pessoas","8.798 pessoas","5,17 hab/km²","2,2 salários mínimos","556 pessoas","4,7 %","44,6 %","92,6 %","4,6","4,4","1.902 matrículas","383 matrículas","72 docentes","23 docentes","14 escolas","3 escolas","14.874,52 R$","- %","0,575","22.177,71 R$ (×1000)","18.125,25 R$ (×1000)","- óbitos por mil nascidos vivos","0,6 internações por mil habitantes","5 estabelecimentos","1.705,824 km²","33,2 %","43,8 %","9,8 %","Amazônia","Não pertence","Centro Local (5)","Rio Branco - Capital Regional C (2C)","Rio Branco","Rio Branco","Vale do Acre","Rio Branco"
"1200450","AC","Senador Guiomard","https://cidades.ibge.gov.br/brasil/ac/senador-guiomard/panorama","23.446 pessoas","20.179 pessoas","8,69 hab/km²","1,8 salários mínimos","1.864 pessoas","8,1 %","41,6 %","95,6 %","6,3","4,8","4.238 matrículas","895 matrículas","178 docentes","55 docentes","28 escolas","8 escolas","16.360,61 R$","- %","0,640","43.306,46 R$ (×1000)","39.298,32 R$ (×1000)","9,59 óbitos por mil nascidos vivos","4,1 internações por mil habitantes","7 estabelecimentos","2.320,169 km²","22,4 %","13,3 %","4,2 %","Amazônia","Não pertence","Centro Local (5)","Rio Branco - Capital Regional C (2C)","Rio Branco","Rio Branco","Vale do Acre","Rio Branco"
"1302009","AM","Itapiranga","https://cidades.ibge.gov.br/brasil/am/itapiranga/panorama","9.312 pessoas","8.211 pessoas","1,94 hab/km²","1,9 salários mínimos","379 pessoas","4,1 %","49,1 %","95,1 %","5,2","4,8","1.853 matrículas","456 matrículas","111 docentes","38 docentes","21 escolas","3 escolas","12.126,80 R$","95,6 %","0,654","25.171,89 R$ (×1000)","22.287,51 R$ (×1000)","23,12 óbitos por mil nascidos vivos","0,1 internações por mil habitantes","4 estabelecimentos","4.335,075 km²","6,5 %","70,2 %","0 %","Amazônia","Não pertence","Centro Local (5)","Manaus - Metrópole (1C)","Parintins","Itacoatiara","Centro Amazonense","Itacoatiara"
"2704500","AL","Maragogi","https://cidades.ibge.gov.br/brasil/al/maragogi/panorama","33.351 pessoas","28.749 pessoas","86,06 hab/km²","1,8 salários mínimos","5.248 pessoas","16,0 %","50,8 %","95,6 %","4,2","3,5","5.388 matrículas","1.357 matrículas","195 docentes","88 docentes","33 escolas","3 escolas","19.441,53 R$","77,6 %","0,574","84.644,29 R$ (×1000)","81.930,05 R$ (×1000)","10,07 óbitos por mil nascidos vivos","0,4 internações por mil habitantes","12 estabelecimentos","334,165 km²","38,8 %","53,4 %","16,3 %","Mata Atlântica","Pertence","Centro Local (5) - Município integrante do Arranjo Populacional de Maragogi/AL - São José da Coroa Grande/PE","Arranjo Populacional do Recife/PE - Metrópole (1C)\; Arranjo Populacional de Maceió/AL - Capital Regional A (2A)","Maceió","Porto Calvo - São Luís do Quitunde","Leste Alagoano","Litoral Norte Alagoano"
"2708600","AL","São Miguel dos Campos","https://cidades.ibge.gov.br/brasil/al/sao-miguel-dos-campos/panorama","62.328 pessoas","54.577 pessoas","151,27 hab/km²","1,8 salários mínimos","11.565 pessoas","18,9 %","45,9 %","96,6 %","5,8","5,1","7.967 matrículas","2.236 matrículas","359 docentes","131 docentes","20 escolas","7 escolas","17.123,99 R$","85 %","0,623","177.416,01 R$ (×1000)","165.273,90 R$ (×1000)","13,56 óbitos por mil nascidos vivos","2,9 internações por mil habitantes","21 estabelecimentos","335,683 km²","60,6 %","45,9 %","26 %","Mata Atlântica","Não pertence","Centro Subregional B (3B)","Arranjo Populacional de Maceió/AL - Capital Regional A (2A)","Maceió","São Miguel dos Campos","Leste Alagoano","São Miguel dos Campos"
"2706901","AL","Pilar","https://cidades.ibge.gov.br/brasil/al/pilar/panorama","35.310 pessoas","33.305 pessoas","133,37 hab/km²","2,6 salários mínimos","4.180 pessoas","11,9 %","47,5 %","96,8 %","4,9","4,1","5.582 matrículas","1.200 matrículas","223 docentes","74 docentes","19 escolas","6 escolas","13.783,87 R$","87,5 %","0,610","130.550,39 R$ (×1000)","120.927,31 R$ (×1000)","13,04 óbitos por mil nascidos vivos","0,8 internações por mil habitantes","17 estabelecimentos","259,614 km²","26,3 %","33,1 %","10,3 %","Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Maceió/AL - Capital Regional A (2A)","Maceió","Maceió","Leste Alagoano","Maceió"
"1600055","AP","Serra do Navio","https://cidades.ibge.gov.br/brasil/ap/serra-do-navio/panorama","5.577 pessoas","4.380 pessoas","0,56 hab/km²","2,1 salários mínimos","381 pessoas","7,1 %","41,7 %","98,4 %","4,9","-","841 matrículas","287 matrículas","64 docentes","28 docentes","8 escolas","3 escolas","14.170,75 R$","- %","0,709","16.879,78 R$ (×1000)","16.698,08 R$ (×1000)","- óbitos por mil nascidos vivos","0,2 internações por mil habitantes","4 estabelecimentos","7.713,046 km²","50 %","95,3 %","0 %","Amazônia","Não pertence","Centro Local (5)","Arranjo Populacional de Macapá/AP - Capital Regional C (2C)","Oiapoque - Porto Grande","Porto Grande","Sul do Amapá","Macapá"
"1303809","AM","São Gabriel da Cachoeira","https://cidades.ibge.gov.br/brasil/am/sao-gabriel-da-cachoeira/panorama","47.031 pessoas","37.896 pessoas","0,35 hab/km²","1,9 salários mínimos","2.381 pessoas","5,2 %","53,2 %","89,4 %","4,6","3,7","11.664 matrículas","2.507 matrículas","761 docentes","213 docentes","222 escolas","15 escolas","7.344,41 R$","95 %","0,609","86.867,99 R$ (×1000)","80.002,91 R$ (×1000)","20,19 óbitos por mil nascidos vivos","0,3 internações por mil habitantes","24 estabelecimentos","109.181,245 km²","11 %","56,2 %","5,8 %","Amazônia","Não pertence","Centro Local (5)","Manaus - Metrópole (1C)","Manaus","São Gabriel da Cachoeira","Norte Amazonense","Rio Negro"
"1600279","AP","Laranjal do Jari","https://cidades.ibge.gov.br/brasil/ap/laranjal-do-jari/panorama","52.302 pessoas","39.942 pessoas","1,29 hab/km²","2,2 salários mínimos","2.617 pessoas","5,2 %","43,4 %","97,6 %","4,6","3,6","7.674 matrículas","1.772 matrículas","432 docentes","122 docentes","63 escolas","5 escolas","18.252,70 R$","- %","0,665","68.126,86 R$ (×1000)","70.160,52 R$ (×1000)","23,2 óbitos por mil nascidos vivos","1,7 internações por mil habitantes","7 estabelecimentos","30.782,998 km²","10,6 %","77,8 %","4,4 %","Amazônia","Não pertence","Centro de Zona A (4A) - Município integrante do Arranjo Populacional de Laranjal do Jari/AP - Almeirim/PA","Arranjo Populacional de Macapá/AP - Capital Regional C (2C)","Macapá","Laranjal do Jari","Sul do Amapá","Mazagão"
