"Código IBGE","Estado","Município","URL","Gentílico","População estimada","População no último censo","Densidade demográfica","Salário médio mensal dos trabalhadores formais","Pessoal ocupado","População ocupada","Percentual da população com rendimento nominal mensal per capita de até 1/2 salário mínimo","Taxa de escolarização de 6 a 14 anos de idade","IDEB – Anos iniciais do ensino fundamental (Rede pública)","IDEB – Anos finais do ensino fundamental (Rede pública)","Matrículas no ensino fundamental","Matrículas no ensino médio","Docentes no ensino fundamental","Docentes no ensino médio","Número de estabelecimentos de ensino fundamental","Número de estabelecimentos de ensino médio","PIB per capita","Percentual das receitas oriundas de fontes externas","Índice de Desenvolvimento Humano Municipal (IDHM)","Total de receitas realizadas","Total de despesas empenhadas","Mortalidade Infantil","Internações por diarreia","Estabelecimentos de Saúde SUS","Área da unidade territorial","Esgotamento sanitário adequado","Arborização de vias públicas","Urbanização de vias públicas","Bioma","Sistema Costeiro-Marinho","Hierarquia urbana","Região de Influência","Região intermediária","Região imediata","Mesorregião","Microrregião"
"1200179","PR","capixaba","https://cidades.ibge.gov.br/brasil/ac/capixaba","capixabense","12.280 pessoas","8.798 pessoas","5,17 hab/km² hab/km²","2,2 salários mínimos","556 pessoas","4,7 %","44,6 %","92,6 %","4,6","4,4","1.902 matrículas","383 matrículas","72 docentes","23 docentes","14 escolas","3 escolas","14.874,52 R$","- %","0,575","22.177,71 R$ (×1000)","18.125,25 R$ (×1000)","- óbitos por mil nascidos vivos","0,6 internações por mil habitantes","5 estabelecimentos","1.705,824 km²","33,2 %","43,8 %","9,8 %","Amazônia","Não pertence","Centro Local (5)","Rio Branco - Capital Regional C (2C)","Rio Branco","Rio Branco","Vale do Acre","Rio Branco"
"1200013","PR","acrelandia","https://cidades.ibge.gov.br/brasil/ac/acrelandia","acrelandense","15.721 pessoas","12.538 pessoas","6,94 hab/km² hab/km²","1,8 salários mínimos","833 pessoas","5,5 %","45,6 %","95,1 %","5,6","-","2.346 matrículas","697 matrículas","79 docentes","27 docentes","8 escolas","3 escolas","15.737,64 R$","- %","0,604","25.276,53 R$ (×1000)","27.229,76 R$ (×1000)","- óbitos por mil nascidos vivos","1,6 internações por mil habitantes","8 estabelecimentos","1.811,613 km²","10,9 %","11,6 %","7,3 %","Amazônia","Não pertence","Centro Local (5)","Rio Branco - Capital Regional C (2C)","Rio Branco","Rio Branco","Vale do Acre","Rio Branco"
"1200104","PR","brasileia","https://cidades.ibge.gov.br/brasil/ac/brasileia","brasileense","27.123 pessoas","21.398 pessoas","5,46 hab/km² hab/km²","1,7 salários mínimos","2.398 pessoas","9,1 %","45 %","90,2 %","6,8","6,1","4.288 matrículas","930 matrículas","173 docentes","50 docentes","35 escolas","3 escolas","16.165,25 R$","- %","0,614","53.414,58 R$ (×1000)","45.045,58 R$ (×1000)","16,67 óbitos por mil nascidos vivos","0,6 internações por mil habitantes","12 estabelecimentos","3.928,174 km²","28,4 %","72,4 %","2 %","Amazônia","Não pertence","Centro Subregional B (3B) - Município integrante do Arranjo Populacional Internacional de Cobija/Bolívia - Brasiléia/Brasil","Rio Branco - Capital Regional C (2C)","Rio Branco","Brasiléia","Vale do Acre","Brasiléia"
"1200351","PR","marechal-thaumaturgo","https://cidades.ibge.gov.br/brasil/ac/marechal-thaumaturgo","thaumaturguense","19.727 pessoas","14.227 pessoas","1,74 hab/km² hab/km²","1,8 salários mínimos","1.231 pessoas","6,5 %","50,6 %","90,8 %","4,5","3,9","4.939 matrículas","1.153 matrículas","262 docentes","29 docentes","52 escolas","3 escolas","10.462,83 R$","97,2 %","0,501","46.853,60 R$ (×1000)","44.092,31 R$ (×1000)","20,09 óbitos por mil nascidos vivos","1,3 internações por mil habitantes","7 estabelecimentos","8.190,953 km²","7,4 %","5,7 %","1,3 %","Amazônia","Não pertence","Centro Local (5)","Cruzeiro do Sul - Centro Subregional B (3B)","Cruzeiro do Sul","Cruzeiro do Sul","Vale do Juruá","Cruzeiro do Sul"
"1200401","PR","rio-branco","https://cidades.ibge.gov.br/brasil/ac/rio-branco","rio-branquense","419.452 pessoas","336.038 pessoas","38,03 hab/km² hab/km²","3,2 salários mínimos","105.391 pessoas","25,9 %","36,4 %","95,1 %","6,5","4,8","59.215 matrículas","16.739 matrículas","2.252 docentes","895 docentes","197 escolas","63 escolas","22.287,70 R$","64,8 %","0,727","884.827,27 R$ (×1000)","740.733,11 R$ (×1000)","11,07 óbitos por mil nascidos vivos","0,2 internações por mil habitantes","95 estabelecimentos","8.835,154 km²","56,7 %","13,8 %","20,4 %","Amazônia","Não pertence","Capital Regional C (2C)","Arranjo Populacional de Porto Velho/RO - Capital Regional B (2B)","Rio Branco","Rio Branco","Vale do Acre","Rio Branco"
"1200328","PR","jordao","https://cidades.ibge.gov.br/brasil/ac/jordao","jordãoense","8.628 pessoas","6.577 pessoas","1,23 hab/km² hab/km²","1,5 salários mínimos","544 pessoas","6,5 %","48 %","71,3 %","4,8","4,4","2.682 matrículas","487 matrículas","126 docentes","28 docentes","66 escolas","2 escolas","9.428,70 R$","96,8 %","0,469","26.243,13 R$ (×1000)","22.373,46 R$ (×1000)","9,17 óbitos por mil nascidos vivos","- internações por mil habitantes","5 estabelecimentos","5.357,227 km²","4,3 %","3,7 %","1,2 %","Amazônia","Não pertence","Centro Local (5)","Rio Branco - Capital Regional C (2C)","Cruzeiro do Sul","Tarauacá","Vale do Juruá","Tarauacá"
"1200385","PR","placido-de-castro","https://cidades.ibge.gov.br/brasil/ac/placido-de-castro","placidiano","20.147 pessoas","17.209 pessoas","8,86 hab/km² hab/km²","1,6 salários mínimos","1.442 pessoas","7,3 %","45,2 %","93,6 %","4,9","4,7","2.824 matrículas","720 matrículas","131 docentes","34 docentes","21 escolas","5 escolas","12.926,47 R$","94,7 %","0,622","37.476,08 R$ (×1000)","32.912,56 R$ (×1000)","6,29 óbitos por mil nascidos vivos","5,5 internações por mil habitantes","10 estabelecimentos","1.952,555 km²","14,3 %","32,5 %","2 %","Amazônia","Não pertence","Centro Local (5)","Rio Branco - Capital Regional C (2C)","Rio Branco","Rio Branco","Vale do Acre","Rio Branco"
"1200302","PR","feijo","https://cidades.ibge.gov.br/brasil/ac/feijo","feijoense","34.986 pessoas","32.412 pessoas","1,16 hab/km² hab/km²","1,4 salários mínimos","2.092 pessoas","6,0 %","51 %","82,9 %","5,2","5,2","8.186 matrículas","2.003 matrículas","285 docentes","61 docentes","142 escolas","21 escolas","10.500,72 R$","- %","0,539","52.016,78 R$ (×1000)","44.915,34 R$ (×1000)","35,59 óbitos por mil nascidos vivos","0,2 internações por mil habitantes","10 estabelecimentos","27.976,874 km²","9,3 %","44,7 %","2,1 %","Amazônia","Não pertence","Centro Local (5)","Rio Branco - Capital Regional C (2C)","Cruzeiro do Sul","Tarauacá","Vale do Juruá","Tarauacá"
"1200450","PR","senador-guiomard","https://cidades.ibge.gov.br/brasil/ac/senador-guiomard","guiomaense","23.446 pessoas","20.179 pessoas","8,69 hab/km² hab/km²","1,8 salários mínimos","1.864 pessoas","8,1 %","41,6 %","95,6 %","6,3","4,8","4.238 matrículas","895 matrículas","178 docentes","55 docentes","28 escolas","8 escolas","16.360,61 R$","- %","0,640","43.306,46 R$ (×1000)","39.298,32 R$ (×1000)","9,59 óbitos por mil nascidos vivos","4,1 internações por mil habitantes","7 estabelecimentos","2.320,169 km²","22,4 %","13,3 %","4,2 %","Amazônia","Não pertence","Centro Local (5)","Rio Branco - Capital Regional C (2C)","Rio Branco","Rio Branco","Vale do Acre","Rio Branco"
"1200427","PR","rodrigues-alves","https://cidades.ibge.gov.br/brasil/ac/rodrigues-alves","rodriguesalvense","19.767 pessoas","14.389 pessoas","4,68 hab/km² hab/km²","2,0 salários mínimos","750 pessoas","4,0 %","51,9 %","94,6 %","5,5","4,7","3.316 matrículas","999 matrículas","194 docentes","70 docentes","56 escolas","12 escolas","9.973,26 R$","95,4 %","0,567","40.231,34 R$ (×1000)","35.058,62 R$ (×1000)","41,92 óbitos por mil nascidos vivos","3,1 internações por mil habitantes","6 estabelecimentos","3.076,342 km²","8,1 %","17,5 %","9,6 %","Amazônia","Não pertence","Centro Local (5)","Cruzeiro do Sul - Centro Subregional B (3B)","Cruzeiro do Sul","Cruzeiro do Sul","Vale do Juruá","Cruzeiro do Sul"
